type,name,description,url
url,Univision_WL2_323_us04images_zoom_us,api,us04images.zoom.us
url,Univision_WL2_324_us04nws_zoom_us,api,us04nws.zoom.us
url,Univision_WL2_325_us04st1_zoom_us,api,us04st1.zoom.us
url,Univision_WL2_326_us04st2_zoom_us,api,us04st2.zoom.us
url,Univision_WL2_327_us04st3_zoom_us,api,us04st3.zoom.us
url,Univision_WL2_328_us04web_zoom_us,api,us04web.zoom.us
url,Univision_WL2_329_us05nws_zoom_us,api,us05nws.zoom.us
url,Univision_WL2_330_us05st1_zoom_us,api,us05st1.zoom.us
url,Univision_WL2_331_us05st2_zoom_us,api,us05st2.zoom.us
url,Univision_WL2_332_us05st3_zoom_us,api,us05st3.zoom.us
url,Univision_WL2_333_us05web_zoom_us,api,us05web.zoom.us
url,Univision_WL2_334_us05www3_zoom_us,api,us05www3.zoom.us
url,Univision_WL2_335_us2_oraclecloud_com,api,us2.oraclecloud.com
url,Univision_WL2_336_us3dms_zoho_com,api,us3-dms.zoho.com
url,Univision_WL2_337_us4dms_zoho_com,api,us4-dms.zoho.com
url,Univision_WL2_338_usage_trackjs_com,api,usage.trackjs.com
url,Univision_WL2_339_uscentral_zohocal_com,api,uscentral.zohocal.com
url,Univision_WL2_340_use_fontawesome_com,api,use.fontawesome.com
url,Univision_WL2_341_use_typekit_net,api,use.typekit.net
url,Univision_WL2_342_usu_openx_net,api,us-u.openx.net
url,Univision_WL2_343_v_fastcdn_co,api,v.fastcdn.co
url,Univision_WL2_344_v10_events_data_microsoft_com,api,v10.events.data.microsoft.com
url,Univision_WL2_345_v20_events_data_microsoft_com,api,v20.events.data.microsoft.com
url,Univision_WL2_346_validisrgrootx1_letsencrypt_org,api,valid-isrgrootx1.letsencrypt.org
url,Univision_WL2_347_vars_hotjar_com,api,vars.hotjar.com
url,Univision_WL2_348_vc_hotjar_io,api,vc.hotjar.io
url,Univision_WL2_349_video_twimg_com,api,video.twimg.com
url,Univision_WL2_350_vimeo_com,api,vimeo.com
url,Univision_WL2_351_visitanalytics_userreport_com,api,visitanalytics.userreport.com
url,Univision_WL2_352_visitor_fiftyt_com,api,visitor.fiftyt.com
url,Univision_WL2_353_visitor_omnitagjs_com,api,visitor.omnitagjs.com
url,Univision_WL2_354_vix_com,api,vix.com
url,Univision_WL2_355_vix1317_zendesk_com,api,vix1317.zendesk.com
url,Univision_WL2_356_vix1317_zendezk_com,api,vix1317.zendezk.com
url,Univision_WL2_357_vixprivacy_my_onetrust_com,api,vix-privacy.my.onetrust.com
